EAN;NAZWA;CENA_SPRZEDAZY;STAN;ROTACJA;COLI;MARKA
5906874605073;PIWO POGODA DUCHA 0.5L BT BZW;7.49;0;0;20;BROWAR ZA MIASTEM
5906874605097;PIWO SLON.DZIEN 0.5L BT BZW;6.99;0;0;20;BROWAR ZA MIASTEM
5095331025247;PIWO SWIATECZNE 0.5 L;7.99;0;0;5;BROWAR NA JURZE
5906874605103;PIWO LET.PRZYGODA 0.5L BT BZW;6.99;0;0;20;BROWAR ZA MIASTEM
5905331025485;PIWO SZATANSKA OBELGA 0.5L;8.28;0;0;1;BROWAR NA JURZE
5905669632744;PIWO SZLAKIEM BYTOW 0.5L;7.99;0;0;5;BYTOW
5906395010042;PIWO SZOTOW APA 0.5L;7.99;0;0;1;BROWAR SPOLDZIELCZY
5905279326514;PIWO SZPUNT APA 0.5 L;5.99;0;0;1;SZPUNT
5906395303694;PIWO SZYSZK ACHMIELU HAZY PEAC;8.49;0;0;1;DEER BEAR
5905331025645;PIWO TABLE BRETT 0.5L;7.99;0;0;5;PINTA
9858;PIWO TE CZASY SIE SKONCZYLY 0.;9.99;0;0;1;ARTEZAN
5905669783910;PIWO TEAWAKENING ICE TEA 0.5L;9.99;0;0;1;BROKREACJA
5903240620500;PIWO TELEPATIC 0.5 L;9.99;0;0;1;SZPUNT
5905669783033;PIWO THE ALCHEMIST 0.5L;9.99;0;0;1;BROKREACJA
5905669783644;PIWO THE BARBER N.E. IPA 0.5L;8.99;0;0;1;BROKREACJA
5905669783002;PIWO THE BUTCHER 0.5L;8.99;0;0;5;BROKREACJA
5905669783255;PIWO THE DEALER 0.5L;8.28;0;0;1;BROKREACJA
5906874605042;T.PIWO NA WYPASIE 0.5L BT BZ;7.49;0;0;20;BROWAR ZA MIASTEM
5905669783040;PIWO THE FARMER AMERIC WHEAT 0;8.99;0;0;1;BROKREACJA
5905669783071;PIWO THE MINER BLACK IPA 0.5;9.99;0;0;1;BROKREACJA
5905669783095;PIWO THE NURSE 0.5L;7.99;0;0;1;BROKREACJA
5906874605035;T.PIWO WLASNE SPRAWY 0.5L BTBZ;7.49;0;0;20;BROWAR ZA MIASTEM
5905669897105;JANUSZ MOCZYWĄS;7.99;0;0;1;WASZCZUKOWE
